YEAR,MO,DY,HR,WS10M,WS50M
2021,1,29,13,6.27,7.11
2021,1,29,14,6.67,7.63
2021,1,29,15,6.66,7.8
2021,1,29,16,6.13,7.69
2021,1,29,17,4.88,7.23
2021,1,29,18,4.58,7.34
2021,1,29,19,4.75,7.7
2021,1,29,20,4.93,8.03
2021,1,29,21,4.95,8.21
2021,1,29,22,4.85,8.27
2021,1,29,23,4.93,8.42
2021,1,30,0,5.52,9.04
2021,1,30,1,6.23,9.42
2021,1,30,2,7.05,10.38
2021,1,30,3,7.82,11
2021,1,30,4,7.73,10.93
2021,1,30,5,8.14,11.39
2021,1,30,6,8.8,11.97
2021,1,30,7,10.5,13.51
2021,1,30,8,11.9,14.79
2021,1,30,9,12.04,14.67
2021,1,30,10,11.93,14.39
2021,1,30,11,11.47,13.72
2021,1,30,12,10.51,12.52
2021,1,30,13,9.16,10.87
2021,1,30,14,8.2,9.67
2021,1,30,15,7.87,9.4
2021,1,30,16,8.08,10.12
2021,1,30,17,8.08,10.63
2021,1,30,18,7.89,10.49
2021,1,30,19,7.11,9.7
2021,1,30,20,6.13,8.92
2021,1,30,21,5.3,8.36
2021,1,30,22,4.3,7.53
2021,1,30,23,3.57,7.02
2021,1,31,0,3.16,6.47
2021,1,31,1,2.78,5.61
2021,1,31,2,2.56,4.65
2021,1,31,3,2.05,3.28
2021,1,31,4,1.59,2.35
2021,1,31,5,2.12,3.34
2021,1,31,6,3.3,5.26
2021,1,31,7,5.57,6.38
2021,1,31,8,6.91,8.16
2021,1,31,9,8.12,9.54
2021,1,31,10,8.77,10.18
2021,1,31,11,8.69,10.04
2021,1,31,12,8.28,9.56
2021,1,31,13,8.12,9.48
2021,1,31,14,7.85,9.31
2021,1,31,15,7.48,9.13
2021,1,31,16,5.39,8.09
2021,1,31,17,3.92,7.78
2021,1,31,18,3.82,7.54
2021,1,31,19,3.93,7.69
2021,1,31,20,4.42,8.29
2021,1,31,21,5.27,9.05
2021,1,31,22,6.04,9.77
2021,1,31,23,6.33,9.87
2021,2,1,0,6.42,9.89
2021,2,1,1,6.74,10.07
2021,2,1,2,7.23,10.51
2021,2,1,3,7.3,10.52
2021,2,1,4,6.9,10.15
2021,2,1,5,6.53,9.83
2021,2,1,6,6.64,9.2
2021,2,1,7,7.9,9.76
2021,2,1,8,8.17,9.62
2021,2,1,9,7.39,8.46
2021,2,1,10,6.67,7.49
2021,2,1,11,6.24,6.92
2021,2,1,12,5.91,6.52
2021,2,1,13,5.8,6.39
2021,2,1,14,5.89,6.53
2021,2,1,15,5.69,6.42
2021,2,1,16,4.59,6.17
